sample_name	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	Flag_Number	Pool_region	Depth_Substrate_Sampling	Corresponding_DOM_Site	Spot_in_Site_for_Coring	ATTRIBUTE_Location 	ATTRIBUTE_linked_DOM_sample_number	DOM_Filter_LOT_number	ATTRIBUTE_Pool_region	ATTRIBUTE_submerged
Stromatolite_Tissue_2A-L_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002032	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2A-left	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2A-left	not applicable	not applicable	not applicable	3	Middle	0-1cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-10	Middle	flowing
Stromatolite_Tissue_2A-R_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002037	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2A-right	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2A-right	not applicable	not applicable	not applicable	3	Middle	0-1cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-15	Middle	flowing
Stromatolite_Tissue_2B-L_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002033	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2B-left	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2B-left	not applicable	not applicable	not applicable	3	Middle	1-2cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-11	Middle	flowing
Stromatolite_Tissue_2B-R_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002038	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2B-right	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2B-right	not applicable	not applicable	not applicable	3	Middle	1-2cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-16	Middle	flowing
Stromatolite_Tissue_2C-L_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002034	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2C-left	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2C-left	not applicable	not applicable	not applicable	3	Middle	2-3cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-12	Middle	flowing
Stromatolite_Tissue_2C-R_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002039	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2C-right	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2C-right	not applicable	not applicable	not applicable	3	Middle	2-3cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-17	Middle	flowing
Stromatolite_Tissue_2D-L_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002035	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2D-left	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2D-left	not applicable	not applicable	not applicable	3	Middle	3-4cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-13	Middle	flowing
Stromatolite_Tissue_2D-R_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002040	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2D-right	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2D-right	not applicable	not applicable	not applicable	3	Middle	3-4cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-18	Middle	flowing
Stromatolite_Tissue_2E-L_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002036	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2E-left	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2E-left	not applicable	not applicable	not applicable	3	Middle	4-5cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-14	Middle	flowing
Stromatolite_Tissue_2E-R_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002041	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-2E-right	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-2E-right	not applicable	not applicable	not applicable	3	Middle	4-5cm	3	2	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-19	Middle	flowing
Stromatolite_Tissue_3_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001913	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1C-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	1	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_31_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001941	electrospray ionization (positive)	reverse phase (C18)	S3-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-1A-Sat-low	not applicable	not applicable	not applicable	3	Middle	Core-top	3	3	Schoenmakerskop	S3-DOM-1-Sat-low	6409030-04	Middle	flowing
Stromatolite_Tissue_32_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001942	electrospray ionization (positive)	reverse phase (C18)	S3-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-1B-Sat-low	not applicable	not applicable	not applicable	3	Middle	Core-middle	3	3	Schoenmakerskop	S3-DOM-1-Sat-low	6409030-04	Middle	flowing
Stromatolite_Tissue_33_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001943	electrospray ionization (positive)	reverse phase (C18)	S3-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-1C-Sat-low	not applicable	not applicable	not applicable	3	Middle	Core-bottom	3	3	Schoenmakerskop	S3-DOM-1-Sat-low	6409030-04	Middle	flowing
Stromatolite_Tissue_34_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001944	electrospray ionization (positive)	reverse phase (C18)	S3-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-2A-Sat-low	not applicable	not applicable	not applicable	3	Middle	Core-top	3	4	Schoenmakerskop	S3-DOM-1-Sat-low	6409030-04	Middle	flowing
Stromatolite_Tissue_35_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001945	electrospray ionization (positive)	reverse phase (C18)	S3-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-2B-Sat-low	not applicable	not applicable	not applicable	3	Middle	Core-middle	3	4	Schoenmakerskop	S3-DOM-1-Sat-low	6409030-04	Middle	flowing
Stromatolite_Tissue_36_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001946	electrospray ionization (positive)	reverse phase (C18)	S3-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-2C-Sat-low	not applicable	not applicable	not applicable	3	Middle	Core-bottom	3	4	Schoenmakerskop	S3-DOM-1-Sat-low	6409030-04	Middle	flowing
Stromatolite_Tissue_37_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001947	electrospray ionization (positive)	reverse phase (C18)	S4-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-1A-Fri-low	not applicable	not applicable	not applicable	4	Middle	Core-top	4	1	Schoenmakerskop	S4-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_38_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001948	electrospray ionization (positive)	reverse phase (C18)	S4-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-1B-Fri-low	not applicable	not applicable	not applicable	4	Middle	Core-middle	4	1	Schoenmakerskop	S4-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_39_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001949	electrospray ionization (positive)	reverse phase (C18)	S4-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-1C-Fri-low	not applicable	not applicable	not applicable	4	Middle	Core-bottom	4	1	Schoenmakerskop	S4-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_4_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001914	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2A-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	2	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_41_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001951	electrospray ionization (positive)	reverse phase (C18)	S4-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-2B-Fri-low	not applicable	not applicable	not applicable	4	Middle	Core-middle	4	2	Schoenmakerskop	S4-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_42_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001952	electrospray ionization (positive)	reverse phase (C18)	S4-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-2C-Fri-low	not applicable	not applicable	not applicable	4	Middle	Core-bottom	4	2	Schoenmakerskop	S4-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_43_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001953	electrospray ionization (positive)	reverse phase (C18)	S4-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-1A-Sat-low	not applicable	not applicable	not applicable	4	Middle	Core-top	4	3	Schoenmakerskop	S4-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_44_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001954	electrospray ionization (positive)	reverse phase (C18)	S4-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-1B-Sat-low	not applicable	not applicable	not applicable	4	Middle	Core-middle	4	3	Schoenmakerskop	S4-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_45_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001955	electrospray ionization (positive)	reverse phase (C18)	S4-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-1C-Sat-low	not applicable	not applicable	not applicable	4	Middle	Core-bottom	4	3	Schoenmakerskop	S4-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_47_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001957	electrospray ionization (positive)	reverse phase (C18)	S4-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-2B-Sat-low	not applicable	not applicable	not applicable	4	Middle	Core-middle	4	4	Schoenmakerskop	S4-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_48_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001958	electrospray ionization (positive)	reverse phase (C18)	S4-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S4-Core-2C-Sat-low	not applicable	not applicable	not applicable	4	Middle	Core-bottom	4	4	Schoenmakerskop	S4-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_49_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001959	electrospray ionization (positive)	reverse phase (C18)	S5-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-1A-Fri-low	not applicable	not applicable	not applicable	5	Middle	Core-top	5	1	Schoenmakerskop	S5-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_5_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001915	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2B-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	2	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_50_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001960	electrospray ionization (positive)	reverse phase (C18)	S5-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-1B-Fri-low	not applicable	not applicable	not applicable	5	Middle	Core-middle	5	1	Schoenmakerskop	S5-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_51_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001961	electrospray ionization (positive)	reverse phase (C18)	S5-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-1C-Fri-low	not applicable	not applicable	not applicable	5	Middle	Core-bottom	5	1	Schoenmakerskop	S5-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_52_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001962	electrospray ionization (positive)	reverse phase (C18)	S5-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-2A-Fri-low	not applicable	not applicable	not applicable	5	Middle	Core-top	5	2	Schoenmakerskop	S5-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_53_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001963	electrospray ionization (positive)	reverse phase (C18)	S5-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-2B-Fri-low	not applicable	not applicable	not applicable	5	Middle	Core-middle	5	2	Schoenmakerskop	S5-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_54_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001964	electrospray ionization (positive)	reverse phase (C18)	S5-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-2C-Fri-low	not applicable	not applicable	not applicable	5	Middle	Core-bottom	5	2	Schoenmakerskop	S5-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_55_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001965	electrospray ionization (positive)	reverse phase (C18)	S5-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-1A-Sat-low	not applicable	not applicable	not applicable	5	Middle	Core-top	5	3	Schoenmakerskop	S5-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_56_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001966	electrospray ionization (positive)	reverse phase (C18)	S5-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-1B-Sat-low	not applicable	not applicable	not applicable	5	Middle	Core-middle	5	3	Schoenmakerskop	S5-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_57_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001967	electrospray ionization (positive)	reverse phase (C18)	S5-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-1C-Sat-low	not applicable	not applicable	not applicable	5	Middle	Core-bottom	5	3	Schoenmakerskop	S5-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_58_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001968	electrospray ionization (positive)	reverse phase (C18)	S5-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-2A-Sat-low	not applicable	not applicable	not applicable	5	Middle	Core-top	5	4	Schoenmakerskop	S5-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_59_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001969	electrospray ionization (positive)	reverse phase (C18)	S5-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-2B-Sat-low	not applicable	not applicable	not applicable	5	Middle	Core-middle	5	4	Schoenmakerskop	S5-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_6_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001916	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2C-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	2	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_60_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001970	electrospray ionization (positive)	reverse phase (C18)	S5-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S5-Core-2C-Sat-low	not applicable	not applicable	not applicable	5	Middle	Core-bottom	5	4	Schoenmakerskop	S5-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_61_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001971	electrospray ionization (positive)	reverse phase (C18)	S6-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-1A-Fri-low	not applicable	not applicable	not applicable	6	Middle	Core-top	6	1	Schoenmakerskop	S6-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_62_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001972	electrospray ionization (positive)	reverse phase (C18)	S6-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-1B-Fri-low	not applicable	not applicable	not applicable	6	Middle	Core-middle	6	1	Schoenmakerskop	S6-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_63_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001973	electrospray ionization (positive)	reverse phase (C18)	S6-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-1C-Fri-low	not applicable	not applicable	not applicable	6	Middle	Core-bottom	6	1	Schoenmakerskop	S6-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_64_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001974	electrospray ionization (positive)	reverse phase (C18)	S6-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-2A-Fri-low	not applicable	not applicable	not applicable	6	Middle	Core-top	6	2	Schoenmakerskop	S6-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_65_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001975	electrospray ionization (positive)	reverse phase (C18)	S6-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-2B-Fri-low	not applicable	not applicable	not applicable	6	Middle	Core-middle	6	2	Schoenmakerskop	S6-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_67_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001977	electrospray ionization (positive)	reverse phase (C18)	S6-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-1A-Sat-low	not applicable	not applicable	not applicable	6	Middle	Core-top	6	3	Schoenmakerskop	S6-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_68_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001978	electrospray ionization (positive)	reverse phase (C18)	S6-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-1B-Sat-low	not applicable	not applicable	not applicable	6	Middle	Core-middle	6	3	Schoenmakerskop	S6-DOM-1-Sat-low	6409030-04	Middle	submerged
